201903,413,413863,109255 
201903,413,436562,71051.62 
201903,413,567932,69168 
201904,413,573499,21428 
201906,413,449790,56898 
201906,413,283271,27174 
201906,413,612747,24180
201906,413,176373,21480 
201906,413,190717,21549 
201907,413,779756,33051 
201907,413,402967,32374 
201907,413,750617,25292 
201907,413,32849,22122 
201909,413,512478,116987 
201910,413,180561,31218 
201911,413,32539,23880 
201911,413,454134,25749 
201912,413,719217,309262 
201912,413,866656,40950 
201904,100,676787,101790 
201904,100,78171,113700 
201905,100,180572,115604 
201905,100,127926,75411 
201905,100,120401,24708 
201908,100,650765,97068 
201908,100,294386,76839.80 
201908,100,225427,53164.80 
201908,100,43122,57688.20 
201909,100,623720,87414.52 
201910,100,160689,92877 
201910,100,701385,83351.50 
201910,100,40250,54240 
201911,100,438819,81294 
201911,100,536563,76988.02 
201911,100,751310,62438 
201911,100,418137,21603 
201912,100,956150,32801 
201912,100,3437,21818.04 
201912,100,238310,21740 
201912,100,296439,20027 
201912,100,7136,20316.10 
201903,412,551836,113253 
201903,412,376067,126598 
201905,412,231374,98600 
201905,412,785174,87384 
201906,412,174982,64044 
201907,412,341869,84618 
201907,412,553224,22506 
201907,412,410408,21600 
201907,412,48,20186 
201907,412,479978,20496 
201907,412,342037,21334 
201907,412,288970,21636 
201907,412,222012,20700 
201907,412,138039,27187.50 
201907,412,394081,21543 
201907,412,476923,21110 
201909,412,312425,112660 
201910,412,867757,121327 
201910,412,160004,68485.80 
201910,412,260667,68730 
201910,412,211327,24086 
201910,412,77462,21644 
201910,412,288970,21636 
201910,412,271486,21183 
201910,412,410408,21600 
201910,412,33834,21602 
201910,412,342037,21334 
201910,412,834950,21782 
201910,412,77858,22664.30 
201910,412,372745,22304.80 
201910,412,553224,22506 
201910,412,217574,22511.50 
201910,412,77462,21644 
201910,412,288970,21636 
201910,412,342037,21334 
201911,412,480742,85207.80 
201912,412,213717,75978 
201912,412,484033,62350.50 
201912,412,917890,38520 
201912,412,15474,38603.40 
201912,412,877685,27306 
201912,412,868124,27120 
201912,412,553224,22506 
201905,108,182023,263622 
201905,108,82140,258651.30 
201905,108,710551,155538 
201905,108,457404,67835.50 
201905,108,135187,59548.30 
201905,108,715874,59007 
201905,108,199223,51505.30 
201905,108,21965,35074 
201905,108,531683,25629.50 
201905,108,154801,23700 
201907,108,549884,162043.10 
201907,108,190484,104445.10 
201907,108,50911,47649 
201907,108,516188,42414.10 
201907,108,444130,42188.40 
201907,108,528314,38398.80 
201907,108,449347,29988 
201907,108,496729,25591 
201907,108,393815,20463.30 
201907,108,752226,20311.10 
201908,108,19038,296256 
201903,400,113497,56785.50 
201903,400,427352,37542 
201903,400,11542,24260 
201904,400,531217,179918 
201904,400,6368,47967 
201904,400,252819,21641 
201904,400,515723,20315 
201905,400,137623,66770.30 
201905,400,371988,26102 
201905,400,390167,20907 
201905,400,234103,20127 
201906,400,64935,46707.60 
201906,400,341762,45708 
201906,400,479108,32376 
201907,400,81165,123795 
201908,400,405118,39360 
201908,400,63781,28251.50 
201908,400,465492,27254.80 
201908,400,122868,23056 
201908,400,515723,20315 
201908,400,245672,20213 
201908,400,73327,20465.50 
201911,400,911360,42010 
201912,400,85839,39496 
201905,115,553315,166614 
201905,115,332629,119280 
201905,115,516960,95723 
201905,115,126747,75133 
201905,115,175525,59200 
201905,115,74116,45074 
201905,115,106554,45871 
201905,115,226500,35180 
201905,115,10259,24375 
201907,115,553315,166614 
201907,115,293198,132338 
201907,115,168813,31745 
201908,115,719719,170268 
201908,115,630321,143886 
201909,115,379465,159550 
201909,115,7068,48549 
201909,115,413909,28721 
201909,115,468899,20460 
201912,115,630321,143886 
201912,115,464353,60088 
201903,120,144084,140750.50 
201903,120,226649,64182 
201903,120,700676,20502 
201903,120,73081,21270 
201904,120,15092,261798 
201904,120,359443,247312 
201904,120,32924,275044 
201904,120,148998,249367.80 
201904,120,164980,241136 
201904,120,412092,106613 
201905,120,178907,218850 
201905,120,177675,55794 
201905,120,647339,21088 
201903,113,100339,177751 
201903,113,644098,143738 
201903,113,486499,144301 
201903,113,200503,131880 
201903,113,137632,73994.50 
201903,113,38584,54455 
201904,113,245638,214643 
201904,113,599068,68358 
201904,113,522677,49641.70 
201904,113,34378,50831.80 
201904,113,276106,24887 
201906,113,558685,46703 
201906,113,498760,38223.30 
